,
,
,
,
,
Tipo,Frecuencia (Hz)
0,"231,64"
1,"127,21"
0,"129,16"
0,"134,85"
0,"143,82"
0,"155,52"
0,"169,38"
0,"184,91"
0,"201,73"
0,"219,54"
0,"238,12"
1,"141,07"
0,"142,84"
0,148
0,"156,22"
0,"167,05"
0,"180,02"
0,"194,7"
0,"210,74"
0,"227,85"
0,"245,8"
1,"155,87"
0,"157,47"
0,"162,17"
0,"169,7"
0,"179,72"
0,"191,84"
0,"205,68"
0,"220,92"
0,"237,3"
0,"254,59"
1,"171,37"
0,"172,82"
0,"177,11"
0,"184,04"
0,"193,32"
0,"204,63"
0,"217,66"
0,"232,12"
0,"247,75"
0,"264,36"
1,"187,39"
0,"188,72"
0,"192,65"
0,"199,04"
0,"207,65"
0,"218,22"
0,"230,48"
0,"244,18"
0,"259,09"
0,"275,01"
2,"117,24"
1,"119,36"
1,"125,48"
1,"135,08"
1,"147,48"
1,"162,02"
1,"178,19"
1,"195,59"
1,"213,91"
1,"232,94"
1,"118,67"
0,"120,76"
0,"126,82"
0,"136,33"
0,"148,62"
0,"163,06"
0,"179,14"
0,"196,45"
0,"214,7"
0,"233,67"
1,"122,87"
0,"124,89"
0,"130,76"
0,140
0,"151,99"
0,"166,14"
0,"181,95"
0,"199,02"
0,"217,05"
0,"235,83"
1,"129,57"
0,"131,48"
0,"137,07"
0,"145,91"
0,"157,45"
0,"171,15"
0,"186,54"
0,"203,22"
0,"220,91"
0,"239,39"
1,"138,4"
0,"140,2"
0,"145,45"
0,"153,81"
0,"164,8"
0,"177,93"
0,"192,77"
0,"208,96"
0,"226,2"
0,"244,28"
1,"148,99"
0,"150,66"
0,"155,56"
0,"163,4"
0,"173,78"
0,"186,29"
0,"200,51"
0,"216,12"
0,"232,83"
0,"250,43"
1,"160,98"
0,"162,53"
0,"167,08"
0,"174,41"
0,"184,17"
0,"196,01"
0,"209,58"
0,"224,56"
0,"240,69"
0,"257,75"
1,"174,1"
0,"175,53"
0,"179,75"
0,"186,58"
0,"195,74"
0,"206,92"
0,"219,81"
0,"234,14"
0,"249,65"
0,"266,13"
1,"188,1"
0,"189,42"
0,"193,34"
0,"199,71"
0,"208,29"
0,"218,83"
